48	47	37
27	28	38
46	35	36
49	48	38
39	28	29
16	17	27
24	35	34
36	25	26
6	16	5
24	25	35
2	12	1
26	25	15
14	3	4
60	59	49
47	46	36
15	25	14
36	35	25
68	78	67
79	80	90
69	79	68
102	92	103
62	73	72
112	101	102
102	101	91
72	82	71
69	80	79
83	73	84
69	70	80
74	84	73
114	113	103
85	84	74
104	114	103
105	94	95
62	72	61
109	98	99
41	31	42
50	60	49
51	50	40
49	38	39
52	51	41
50	49	39
16	27	26
29	30	40
17	7	18
19	20	30
8	18	7
2	13	12
23	13	24
12	13	23
14	25	24
14	13	3
14	24	13
3	13	2
14	4	15
4	5	15
17	6	7
19	29	18
30	41	40
17	16	6
15	5	16
16	26	15
27	38	37
26	37	36
26	27	37
50	39	40
38	28	39
53	54	64
37	47	36
52	53	63
63	74	73
61	60	50
58	57	47
68	57	58
45	34	35
59	58	48
57	56	46
38	48	37
49	59	48
23	24	34
56	45	46
57	46	47
45	35	46
67	56	57
48	58	47
59	69	58
68	79	78
80	81	91
79	90	89
115	114	104
60	70	59
67	57	68
79	89	78
90	100	89
101	111	100
101	112	111
90	101	100
115	104	105
90	91	101
90	80	91
91	92	102
115	105	116
92	93	103
97	96	86
113	102	103
113	112	102
116	105	106
93	92	82
104	94	105
93	82	83
104	93	94
104	103	93
94	83	84
94	93	83
72	71	61
82	81	71
92	81	82
92	91	81
58	69	68
70	81	80
59	70	69
71	81	70
71	60	61
71	70	60
83	72	73
83	82	72
63	64	74
65	76	75
96	85	86
95	84	85
75	74	64
75	85	74
96	95	85
94	84	95
117	106	107
105	95	106
97	107	96
106	95	96
116	106	117
117	107	118
118	107	108
87	97	86
107	106	96
87	98	97
119	109	120
108	98	109
119	108	109
119	118	108
109	110	120
121	120	110
110	109	99
98	88	99
76	86	75
85	75	86
88	98	87
108	97	98
108	107	97
65	75	64
76	87	86
77	76	66
77	87	76
88	87	77
65	54	55
54	44	55
21	10	11
54	43	44
31	41	30
43	54	53
55	66	65
76	65	66
64	54	65
61	51	62
62	52	63
42	52	41
53	64	63
73	62	63
61	50	51
41	51	40
52	62	51
19	30	29
31	32	42
42	53	52
42	43	53
32	31	21
32	43	42
39	29	40
28	18	29
28	17	18
28	27	17
19	18	8
9	19	8
20	31	30
9	20	19
21	31	20
10	20	9
21	20	10
22	32	21
33	43	32
44	43	33
33	32	22
22	21	11
